Name,Sex,Date,StateChange
Betty,Female,5/26/21,26
Bugs,Male,5/26/21,6
Carmen,Female,5/26/21,6
Chip,Male,5/26/21,4
Dale,Male,5/26/21,4
Dot,Female,5/26/21,0
Elsa,Female,5/26/21,4
Felix,Male,5/26/21,18
Fiona,Female,5/26/21,12
Granny,Female,5/26/21,4
Grouch,Male,5/26/21,6
Hubert,Male,5/26/21,6
Marlo,Female,5/26/21,14
Satan,Male,5/26/21,1
Ziggy,Male,5/26/21,7
Alvin,Male,5/27/21,2
April,Female,5/27/21,12
Betty,Female,5/27/21,8
Bugs,Male,5/27/21,8
Carmen,Female,5/27/21,6
Chip,Male,5/27/21,4
Dale,Male,5/27/21,2
Dot,Female,5/27/21,0
Elsa,Female,5/27/21,4
Felix,Male,5/27/21,6
Fiona,Female,5/27/21,2
Granny,Female,5/27/21,2
Grouch,Male,5/27/21,4
Hubert,Male,5/27/21,8
Marlo,Female,5/27/21,6
Satan,Male,5/27/21,5
Ziggy,Male,5/27/21,5
Alvin,Male,5/28/21,0
April,Female,5/28/21,0
Betty,Female,5/28/21,0
Bugs,Male,5/28/21,0
Carmen,Female,5/28/21,2
Chip,Male,5/28/21,0
Dale,Male,5/28/21,0
Dot,Female,5/28/21,0
Elsa,Female,5/28/21,0
Felix,Male,5/28/21,0
Fiona,Female,5/28/21,0
Granny,Female,5/28/21,0
Grouch,Male,5/28/21,0
Hubert,Male,5/28/21,1
Marlo,Female,5/28/21,1
Satan,Male,5/28/21,11
Ziggy,Male,5/28/21,1
Alvin,Male,5/29/21,2
April,Female,5/29/21,4
Betty,Female,5/29/21,10
Bugs,Male,5/29/21,10
Carmen,Female,5/29/21,6
Chip,Male,5/29/21,6
Dale,Male,5/29/21,2
Dot,Female,5/29/21,8
Elsa,Female,5/29/21,12
Felix,Male,5/29/21,6
Fiona,Female,5/29/21,4
Granny,Female,5/29/21,14
Grouch,Male,5/29/21,2
Hubert,Male,5/29/21,6
Marlo,Female,5/29/21,4
Satan,Male,5/29/21,1
Ziggy,Male,5/29/21,7
Alvin,Male,5/30/21,2
April,Female,5/30/21,12
Betty,Female,5/30/21,32
Bugs,Male,5/30/21,12
Carmen,Female,5/30/21,12
Chip,Male,5/30/21,10
Dale,Male,5/30/21,6
Dot,Female,5/30/21,16
Elsa,Female,5/30/21,20
Felix,Male,5/30/21,4
Fiona,Female,5/30/21,8
Granny,Female,5/30/21,8
Grouch,Male,5/30/21,2
Hubert,Male,5/30/21,2
Marlo,Female,5/30/21,4
